Count,Time,Count,LocatorTime
900,3080450,900,3074018
901,4207439,901,4201667
902,3286919,902,3280173
903,3550117,903,3544207
904,2806234,904,2799103
905,5873842,905,5868684
906,3587729,906,3581212
907,3118433,907,3112577
908,2630186,908,2623003
909,3750596,909,3742256
910,3732162,910,3724572
911,3913974,911,3907082
912,3751081,912,3743927
913,3665870,913,3657580
914,4035885,914,4029004
915,4200859,915,4194400
916,4103509,916,4096975
917,2759953,917,2753170
918,3230368,918,3223846
919,3926484,919,3919688
920,3022917,920,3016564
921,2812144,921,2806280
922,3752357,922,3746509
923,3529901,923,3523605
924,2907581,924,2899465
925,3698719,925,3692098
926,3165280,926,3158738
927,3484022,927,3477100
928,3993687,928,3985039
929,3814358,929,3746777
930,3453823,930,3446697
931,3197994,931,3156886
932,3480037,932,3473066
933,3860803,933,3853812
934,3746922,934,3738451
935,4346760,935,4338079
936,3013347,936,3004681
937,3270980,937,3263532
938,4566207,938,4558046
939,3238332,939,3201654
940,3908421,940,3901868
941,3451696,941,3444282
942,4667142,942,4659895
943,3355971,943,3349076
944,3612007,944,3605510
945,4283378,945,4275000
946,3990611,946,3983084
947,3503466,947,3496903
948,3523771,948,3515905
949,3571097,949,3564403
950,3480305,950,3473410
951,3651090,951,3643045
952,3788035,952,3780492
953,3441976,953,3434895
954,4311749,954,4304440
955,4022431,955,4014748
956,3039039,956,3033189
957,2993752,957,2987729
958,2875954,958,2869819
959,2807856,959,2801492
960,3167735,960,3161326
961,2639324,961,2633636
962,3909140,962,3901817
963,3937498,963,3929982
964,3387090,964,3380566
965,3700241,965,3692257
966,4086985,966,4078952
967,3446711,967,3439706
968,3648183,968,3640313
969,3768839,969,3762271
970,4096266,970,4089133
971,3395545,971,3388455
972,3055015,972,3048299
973,3695028,973,3688215
974,3846683,974,3839320
975,3146423,975,3139969
976,3220990,976,3212916
977,3374877,977,3369286
978,2922503,978,2916538
979,2302994,979,2296409
980,3078813,980,3072864
981,4146889,981,4140326
982,3483540,982,3476203
983,3185151,983,3178737
984,3576925,984,3570620
985,3978954,985,3970026
986,4194060,986,4134766
987,3991393,987,3984418
988,4283700,988,4275681
989,3904362,989,3898162
990,3219007,990,3211845
991,3772151,991,3765454
992,3064990,992,3057518
993,3448990,993,3442322
994,3387415,994,3381104
995,3558196,995,3551951
996,3053742,996,3047239
997,3108485,997,3101886
998,2847109,998,2840743
999,2590888,999,2585340
1000,4939496,1000,4933466
1001,3946014,1001,3938888
1002,4165137,1002,4158274
1003,3993369,1003,3986137
1004,3893005,1004,3885956
1005,3857095,1005,3849498
1006,3216181,1006,3208646
1007,3009505,1007,3002880
1008,5093835,1008,5087308
1009,4553396,1009,4519239
1010,3468036,1010,3461130
1011,3087546,1011,3079693
1012,3668068,1012,3659841
1013,3817968,1013,3810244
1014,3436090,1014,3429460
1015,3817669,1015,3810165
1016,3790323,1016,3783465
1017,3764530,1017,3757463
1018,4107646,1018,4101352
1019,4321920,1019,4312665
1020,3826379,1020,3819075
1021,4138985,1021,4131729
1022,3804298,1022,3796810
1023,3178341,1023,3170747
1024,3768528,1024,3759883
1025,3789721,1025,3782852
1026,3626527,1026,3619803
1027,3755565,1027,3748601
1028,4677795,1028,4669493
1029,3485964,1029,3478833
1030,2635659,1030,2627284
1031,3043759,1031,3037095
1032,3968298,1032,3961500
1033,2942030,1033,2935360
1034,2907303,1034,2901054
1035,3588436,1035,3581951
1036,3889570,1036,3882717
1037,2799989,1037,2793783
1038,4079075,1038,4021916
1039,4215443,1039,4208779
1040,3629588,1040,3621932
1041,4287788,1041,4280248
1042,2858360,1042,2850282
1043,3600228,1043,3592768
1044,4334932,1044,4327633
1045,3495558,1045,3488197
1046,3579826,1046,3572985
1047,3348918,1047,3342241
1048,3436166,1048,3429548
1049,3084943,1049,3078285
1050,3507478,1050,3500785
1051,3138362,1051,3132498
1052,3378956,1052,3373017
1053,3602993,1053,3596526
1054,2931003,1054,2924735
1055,2560482,1055,2555297
1056,3365113,1056,3357765
1057,3017355,1057,3011074
1058,3265537,1058,3219615
1059,3277129,1059,3270584
1060,3148100,1060,3141788
1061,2781204,1061,2775233
1062,3843955,1062,3836887
1063,3607579,1063,3588386
1064,3418263,1064,3410604
1065,4224990,1065,4218075
1066,4317951,1066,4310836
1067,3057859,1067,3050535
1068,3485589,1068,3477425
1069,3632481,1069,3625791
1070,3396344,1070,3389244
1071,3458201,1071,3451421
1072,3773246,1072,3766250
1073,3503115,1073,3496154
1074,3343800,1074,3336336
1075,4006049,1075,3999654
1076,3260978,1076,3255000
1077,3697155,1077,3690987
1078,2770903,1078,2764100
1079,3956995,1079,3951268
1080,4789963,1080,4783334
1081,3598161,1081,3592190
1082,4104363,1082,4097214
1083,5058657,1083,5051281
1084,4130457,1084,4122367
1085,3577953,1085,3569959
1086,3872098,1086,3865287
1087,3647853,1087,3639823
1088,3980121,1088,3973471
1089,3019157,1089,3012164
1090,3201334,1090,3194629
1091,3524262,1091,3517331
1092,5152639,1092,5146105
1093,4676707,1093,4669532
1094,3361137,1094,3353958
1095,3251547,1095,3245084
1096,3480732,1096,3473074
1097,3827491,1097,3821084
1098,4732680,1098,4719280
1099,4029866,1099,4020806
1100,3208192,1100,3201486
1101,4513679,1101,4506244
1102,3994007,1102,3986246
1103,3765586,1103,3758773
1104,3977316,1104,3971050
1105,3774417,1105,3767326
1106,3330903,1106,3324129
1107,4733657,1107,4727217
1108,3775060,1108,3768418
1109,2885422,1109,2879103
1110,4258356,1110,4252319
1111,4276782,1111,4264088
1112,4268492,1112,4261010
1113,5188069,1113,5179123
1114,4324574,1114,4317759
1115,3403306,1115,3395029
1116,3828961,1116,3822502
1117,4363203,1117,4355865
1118,4185971,1118,4178957
1119,3798783,1119,3791911
1120,3586373,1120,3578365
1121,4265273,1121,4258686
1122,3885626,1122,3877729
1123,5618496,1123,5611880
1124,3660171,1124,3652825
1125,3495898,1125,3487284
1126,3930021,1126,3922680
1127,3597313,1127,3590279
1128,4056367,1128,4050046
1129,3809612,1129,3802800
1130,3648876,1130,3641920
1131,5178823,1131,5171865
1132,4462347,1132,4455316
1133,4468297,1133,4461429
1134,3931470,1134,3925471
